Year,Name,Activity,Allocation
2016,New Zealand Aluminium Smelters Limited,Aluminium Smelting,786306
2016,Graymont (NZ) Limited,Burnt lime,140446
2016,Websters Hydrated Lime Company Limited,Burnt lime,3306
2016,Ballance Agri-Nutrients (Kapuni) Limited,Carbamide (urea),159680
2016,Pacific Steel (NZ) Limited,Carbon steel from cold ferrous feed,488
2016,Whakatane Mill Limited,Cartonboard,86764
2016,Oji Fibre Solutions (NZ) Limited,Caustic soda,9845
2016,Fletcher Concrete and Infrastructure Limited,Cementitious products,360933
2016,Holcim (New Zealand) L​imited,Cementitious products,44439
2016,Moffatts Flower Company Limited,Cut roses,796
2016,"Paul Gregory Whitehead, John Hamilton Charles Falloon",Cut roses,47
2016,Royal Roses Limited,Cut roses,49
2016,Shipherd Nurseries Limited,Cut roses,1006
2016,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens",Cut roses,11
2016,Van Berlo Limited,Cut roses,141
2016,Van Lier Nurseries Limited,Cut roses,653
2016,Anchor Ethanol Limited,Ethanol,5465
2016,Appleby Fresh Limited,Fresh capsicums,39
2016,Gourmet Mokai Limited,Fresh capsicums,1767
2016,Gourmet Paprika Limited,Fresh capsicums,3472
2016,Gourmet Waiuku Limited,Fresh capsicums,1551
2016,Homestead Produce Limited,Fresh capsicums,484
2016,J.S. Ewers Limited,Fresh capsicums,690
2016,Poppas Peppers 2009 Limited,Fresh capsicums,253
2016,Sinai Hort Limited,Fresh capsicums,377
2016,Sinnott Holdings Limited,Fresh capsicums,106
2016,Southern Paprika Limited,Fresh capsicums,6616
2016,Taaza Green Limited,Fresh capsicums,198
2016,Whakatane Growers Limited,Fresh capsicums,776
2016,B Singh & P K Singh,Fresh cucumbers,571
2016,Exception Limited,Fresh cucumbers,4591
2016,Island Horticulture Limited,Fresh cucumbers,884
2016,Jai Shankar Growers Limited,Fresh cucumbers,300
2016,Karaka Park Produce Limited,Fresh cucumbers,665
2016,Parkgard Growers 2000 Limited,Fresh cucumbers,87
2016,R K & M D Sharma,Fresh cucumbers,829
2016,Sharma Produce Limited,Fresh cucumbers,1108
2016,Under Glass (Bombay) Limited,Fresh cucumbers,1044
2016,Castle Rock Orchard Limited,Fresh tomatoes,307
2016,F and B Abma,Fresh tomatoes,174
2016,Gourmet Mokai Limited,Fresh tomatoes,2007
2016,Great Lake Tomatoes Limited,Fresh tomatoes,2217
2016,J.S. Ewers Limited,Fresh tomatoes,2836
2016,Jai Shankar Growers Limited,Fresh tomatoes,195
2016,"Joanne Elizabeth Gould Ivicevich, Antone James Ivicevich",Fresh tomatoes,134
2016,Karamea Tomatoes Limited,Fresh tomatoes,314
2016,Kingbridge Limited,Fresh tomatoes,40
2016,Nortonta Limited,Fresh tomatoes,456
2016,P H Kinzett Limited,Fresh tomatoes,758
2016,P J & M J Fausett Partnership,Fresh tomatoes,91
2016,Parkgard Growers 2000 Limited,Fresh tomatoes,51
2016,Pomoana Gardens Limited,Fresh tomatoes,131
2016,Reupena Kovati & Eseta Kovati,Fresh tomatoes,24
2016,Status Produce Limited,Fresh tomatoes,7437
2016,Tiny Toms Limited,Fresh tomatoes,62
2016,Under Glass (Bombay) Limited,Fresh tomatoes,2944
2016,Under Glass (Karaka) Limited,Fresh tomatoes,4165
2016,Vege Fresh Growers Limited,Fresh tomatoes,320
2016,GELITA NZ Limited,Gelatine,2917
2016,ACI Operations NZ Limited,Glass containers,31698
2016,Evonik Peroxide Limited,Hydrogen peroxide,11686
2016,New Zealand Steel Development Limited,Iron and steel from iron sand,1048116
2016,Pacific Steel (NZ) Limited,Iron and steel from iron sand,11816
2016,Fonterra Limited,Lactose,29650
2016,Oji Fibre Solutions (NZ) Limited,Market pulp,144120
2016,Pan Pac Forest Products Limited,Market pulp,127785
2016,Winstone Pulp International Limited,Market pulp,93734
2016,Methanex New Zealand Limited,Methanol,770033
2016,Norske Skog Tasman Limited,Newsprint,127279
2016,Oji Fibre Solutions (NZ) Limited,Packaging and industrial paper,138843
2016,AFFCO New Zealand Limited,Protein meal,6721
2016,Alliance Group Limited,Protein meal,6022
2016,Blue Sky Meats (N.Z.) Limited,Protein meal,461
2016,CMP Canterbury Limited,Protein meal,3482
2016,Farm Brands Limited,Protein meal,4643
2016,Graeme Lowe Protein Limited,Protein meal,149
2016,Hawkes Bay Protein Limited,Protein meal,3015
2016,Kakariki Proteins Limited,Protein meal,831
2016,Keep It Clean Limited,Protein meal,2017
2016,Prime Range Meats Limited,Protein meal,248
2016,PVL Proteins Limited,Protein meal,2437
2016,Taranaki By-Products Limited,Protein meal,9732
2016,Taylor Preston Limited,Protein meal,1101
2016,Tegel Foods Limited,Protein meal,975
2016,Tuakau Proteins Limited,Protein meal,6419
2016,Value Proteins Limited,Protein meal,828
2016,Wallace Corporation Limited,Protein meal,9189
2016,Daiken New Zealand Limited,Reconstituted wood panels,10168
2016,Dongwha New Zealand Limited,Reconstituted wood panels,9451
2016,Fletcher Building Products Limited,Reconstituted wood panels,1939
2016,Juken New Zealand Limited,Reconstituted wood panels,3793
2016,Nelson Pine Industries Limited,Reconstituted wood panels,16054
2016,Asaleo Care New Zealand Limited,Tissue paper,16102
2016,Fonterra Limited,Whey powder,2491
