"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2012,"Dong Hyuk Cha & Soo Hwan Cha","Fresh tomatoes",1
2012,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",16
2012,"F and B Abma","Fresh tomatoes",155
2012,"Gordon Edward Hackett","Fresh tomatoes",10
2012,"Gourmet Mokai Limited","Fresh tomatoes",1457
2012,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",6
2012,"Great Lake Tomatoes Limited","Fresh tomatoes",2001
2012,"Hanna Hothouses Limited","Fresh tomatoes",292
2012,"Il Kyu Ahn","Fresh tomatoes",65
2012,"J.S. Ewers Limited","Fresh tomatoes",2460
2012,"Jae Young Hong, Sun Young Park","Fresh tomatoes",66
2012,"Jai Shankar Growers Limited","Fresh tomatoes",15
2012,"K F & H J Petrie","Fresh tomatoes",312
2012,"Karamea Tomatoes Limited","Fresh tomatoes",299
2012,"Kingbridge Limited","Fresh tomatoes",45
2012,"Kyoung Lae Lee, Hye Young Jung","Fresh tomatoes",66
2012,"Lee Wang Hothouse Limited","Fresh tomatoes",83
2012,"Lycopene Fresh Vegefruit Ltd","Fresh tomatoes",35
2012,"MA & AM & EM Sanders Partnership","Fresh tomatoes",305
2012,"New Zealand Fresh Floria Limited","Fresh tomatoes",26
2012,"Nortonta Limited","Fresh tomatoes",471
2012,"P H Kinzett Limited","Fresh tomatoes",624
2012,"P J & M J Fausett Partnership","Fresh tomatoes",79
2012,"Parkgard Growers 2000 Limited","Fresh tomatoes",60
2012,"Pieter and Maria Anna van der Gulik","Fresh tomatoes",11
2012,"Pomoana Gardens Limited","Fresh tomatoes",119
2012,"Rembrandt van Rijen Limited","Fresh tomatoes",1183
2012,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",16
2012,"Status Produce Limited","Fresh tomatoes",6753
2012,"TA & DM Turner","Fresh tomatoes",56
2012,"Ting-Yuan Robert Wu","Fresh tomatoes",71
2012,"Tiny Toms Limited","Fresh tomatoes",64
2012,"Under Glass (Bombay) Limited","Fresh tomatoes",1611
2012,"Under Glass (Karaka) Limited","Fresh tomatoes",2568
2012,"Vege Fresh Growers Limited","Fresh tomatoes",133
2012,"Vicki Thresa Gargiulo & Michael Theodore Gargiulo","Fresh tomatoes",282
2012,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",34
2012,"Won Ha Park and Ji-Im Park","Fresh tomatoes",37
2012,"GELITA NZ Limited","Gelatine",2917
2012,"ACI Operations New Zealand Limited","Glass containers",32992
2012,"Evonik Peroxide Limited","Hydrogen peroxide",10081
2012,"New Zealand Steel Development Limited","Iron and steel from iron sand",1003730
2012,"Fonterra Limited","Lactose",25210
2012,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",145839
2012,"Pan Pac Forest Products Limited","Market pulp",108047
2012,"Winstone Pulp International Limited","Market pulp",87125
2012,"Methanex New Zealand Limited","Methanol",390325
2012,"Norske Skog Tasman Limited","Newsprint",215711
2012,"Carter Holt Harvey Limited","Packaging and industrial paper",21198
2012,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",114228
2012,"Affco New Zealand Limited","Protein meal",5800
2012,"Alliance Group Limited","Protein meal",6325
2012,"Blue Sky Meats (N.Z.) Limited","Protein meal",402
2012,"CMP Canterbury Limited","Protein meal",3056
2012,"CMP Kokiri Limited","Protein meal",732
2012,"Farm Brands Limited","Protein meal",3109
2012,"Graeme Lowe Protein Limited","Protein meal",8794
2012,"Kakariki Proteins Limited","Protein meal",509
2012,"Keep It Clean Limited","Protein meal",1511
2012,"Prime Range Meats Limited","Protein meal",491
2012,"PVL Proteins Limited","Protein meal",2368
2012,"Silver Fern Farms Limited","Protein meal",5423
2012,"Taylor Preston Limited","Protein meal",1193
2012,"Tegel Foods Limited","Protein meal",745
2012,"Value Proteins Limited","Protein meal",1026
2012,"Wallace Corporation Limited","Protein meal",7388
2012,"Carter Holt Harvey Limited","Reconstituted wood panels",1067
2012,"Daiken New Zealand Limited","Reconstituted wood panels",9181
2012,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8327
2012,"Fletcher Building Products Limited","Reconstituted wood panels",1784
2012,"Juken New Zealand Limited","Reconstituted wood panels",5586
2012,"Nelson Pine Industries Limited","Reconstituted wood panels",15449
2012,"SCA Hygiene Australasia Limited","Tissue paper",18463
2012,"Fonterra Limited","Whey powder",970
