"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2012,"New Zealand Aluminium Smelters Limited","Aluminium smelting",301244
2012,"Holcim (New Zealand) Limited","Burnt lime",7676
2012,"McDonald's Lime Limited","Burnt lime",96536
2012,"Perry Lime Limited","Burnt lime",4644
2012,"Websters Hydrated Lime Company Limited","Burnt lime",1987
2012,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",143065
2012,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",37616
2012,"KiwiRail Limited","Carbon steel from cold ferrous feed",60
2012,"Whakatane Mill Limited","Cartonboard",79480
2012,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",9989
2012,"Fletcher Concrete and Infrastructure Limited","Cementitious products",278421
2012,"Holcim (New Zealand) Limited","Cementitious products",174223
2012,"Clay Bricks Limited","Clay bricks and field tiles",320
2012,"CSR Building Products (NZ) Ltd","Clay bricks and field tiles",2479
2012,"Franko Roses New Zealand Limited","Cut roses",97
2012,"Jeffrey Guy Ward","Cut roses",77
2012,"K & L Nurseries Limited","Cut roses",260
2012,"Moffatts Flower Company Limited","Cut roses",764
2012,"Paul Gregory Whitehead, Suzanne Marie Whitehead, John Hamilton Charles 
Falloon","Cut roses",43
2012,"Riverland Nurseries Limited","Cut roses",543
2012,"Robb TC & RA","Cut roses",97
2012,"Royal Roses Limited","Cut roses",33
2012,"S & D Stocks","Cut roses",73
2012,"Shipherd Nurseries Limited","Cut roses",675
2012,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",24
2012,"Van Berlo Limited","Cut roses",154
2012,"Van Lier Nurseries Limited","Cut roses",666
2012,"Anchor Ethanol Limited","Ethanol",5699
2012,"Appleby Fresh Limited","Fresh capsicums",28
2012,"Flat-Tac Capsicums Limited","Fresh capsicums",150
2012,"Gourmet Mokai Limited","Fresh capsicums",1721
2012,"Gourmet Paprika Limited","Fresh capsicums",3520
2012,"Harbour Head Growers Limited","Fresh capsicums",139
2012,"Homestead Produce Limited","Fresh capsicums",606
2012,"J.S. Ewers Limited","Fresh capsicums",553
2012,"Kipps' Patch Limited","Fresh capsicums",25
2012,"M & T Matthews Partnership","Fresh capsicums",13
2012,"M.C.H. & J. van Geest Nurseries Limited","Fresh capsicums",195
2012,"Pieter and Maria Anna van der Gulik","Fresh capsicums",13
2012,"Poppas Peppers 2009 Limited","Fresh capsicums",220
2012,"Sinai Hort Limited","Fresh capsicums",371
2012,"Southern Paprika Limited","Fresh capsicums",4998
2012,"The Chilli & Capsicum Company Limited","Fresh capsicums",20
2012,"Under Glass (Bombay) Limited","Fresh capsicums",200
2012,"Under Glass (Karaka) Limited","Fresh capsicums",768
2012,"Whakatane Growers Limited","Fresh capsicums",705
2012,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",297
2012,"B S & P K Singh","Fresh cucumbers",122
2012,"Exception Limited","Fresh cucumbers",1944
2012,"Hanna Hothouses Limited","Fresh cucumbers",225
2012,"Hope Hot House Limited","Fresh cucumbers",90
2012,"J.S. Ewers Limited","Fresh cucumbers",106
2012,"Jai Shankar Growers Limited","Fresh cucumbers",197
2012,"Karaka Park Produce Limited","Fresh cucumbers",426
2012,"Parkgard Growers 2000 Limited","Fresh cucumbers",47
2012,"PFD Produce Limited","Fresh cucumbers",153
2012,"Pieter and Maria Anna van der Gulik","Fresh cucumbers",12
2012,"R K & M D Sharma","Fresh cucumbers",1143
2012,"Sharma Produce Limited","Fresh cucumbers",518
2012,"Under Glass (Bombay) Limited","Fresh cucumbers",1567
2012,"A J & J E Ivicevich","Fresh tomatoes",119
2012,"Castle Rock Orchard Limited","Fresh tomatoes",292
2012,"Dale Calderwood Frost & Elizabeth Kay Frost","Fresh tomatoes",31
