"Activity","Applicant","Year","Allocation","Value"
"Fresh tomatoes","Karamea Tomatoes Limited",2010,146,2566.68
"Fresh tomatoes","Kingbridge Ltd",2010,19,334.02
"Fresh tomatoes","Kyung Duk Hwang, Myeong Ho Lee",2010,15,263.7
"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",2010,22,386.76
"Fresh tomatoes","Little Knoll Greenhouses Ltd",2010,134,2355.72
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2010,41,720.78
"Fresh tomatoes","Mengye Investments Ltd.",2010,14,246.12
"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",2010,143,2513.94
"Fresh tomatoes","NAGRA BROTHERS LIMITED",2010,31,544.98
"Fresh tomatoes","New Zealand Fresh Floria Limited",2010,20,351.6
"Fresh tomatoes","Nortonta Limited",2010,245,4307.1
"Fresh tomatoes","Parkgard Growers 2000 Limited",2010,23,404.34
"Fresh tomatoes","Pomoana Gardens Limited",2010,47,826.26
"Fresh tomatoes","Rembrandt van Rijen Limited",2010,694,12200.52
"Fresh tomatoes","Status Produce Limited",2010,3451,60668.58
"Fresh tomatoes","Tiny Toms Limited",2010,27,474.66
"Fresh tomatoes","Under Glass (Bombay) Ltd",2010,975,17140.5
"Fresh tomatoes","Under Glass (Karaka) Limited",2010,1333,23434.14
"Fresh tomatoes","Vege Fresh Growers Limited",2010,73,1283.34
"Gelatine","GELITA NZ Ltd",2010,1531,26914.98
"Glass containers","ACI OPERATIONS NZ LIMITED",2010,14454,254101.32
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2010,5920,104073.6
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2010,494704,8696896.32
"Lactose","Fonterra Ltd",2010,13418,235888.44
"Market pulp","Oji Fibre Solutions (NZ) Limited",2010,78896,1386991.68
"Market pulp","Pan Pac Forest Products Limited",2010,60593,1065224.94
"Market pulp","Winstone Pulp International Limited",2010,42254,742825.32
"Methanol","Methanex New Zealand Ltd",2010,143074,2515240.92
"Newsprint","Norske Skog Tasman Ltd",2010,122826,2159281.08
"Packaging and industrial paper","Carter Holt Harvey Ltd",2010,10413,183060.54
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2010,60562,1064679.96
"Protein meal","Affco New Zealand Limited",2010,2798,49188.84
"Protein meal","Alliance Group Limited",2010,2119,37252.02
"Protein meal","Blue Sky Meats (N.Z.) Limited",2010,113,1986.54
"Protein meal","CMP Canterbury Limited",2010,1141,20058.78
"Protein meal","CMP Kokiri Limited",2010,275,4834.5
"Protein meal","Farm Brands Limited",2010,1214,21342.12
"Protein meal","Graeme Lowe Protein Limited",2010,2416,42473.28
"Protein meal","Hawkes Bay Protein Limited",2010,1289,22660.62
"Protein meal","Kakariki Proteins Limited",2010,183,3217.14
"Protein meal","Keep It Clean Limited",2010,343,6029.94
"Protein meal","PVL Proteins Limited",2010,1083,19039.14
"Protein meal","Silver Fern Farms Limited",2010,2464,43317.12
"Protein meal","Taranaki By-Products Ltd",2010,4008,70460.64
"Protein meal","Taylor Preston Limited",2010,542,9528.36
"Protein meal","Tegel Foods Limited",2010,404,7102.32
"Protein meal","Value Proteins Ltd",2010,299,5256.42
"Protein meal","Wallace Corporation Limited",2010,3771,66294.18
"Reconstituted wood panels","Carter Holt Harvey Ltd",2010,586,10301.88
"Reconstituted wood panels","Daiken New Zealand Limited",2010,4248,74679.84
"Reconstituted wood panels","Dongwha New Zealand Limited",2010,4284,75312.72
"Reconstituted wood panels","Fletcher Building Products Limited",2010,837,14714.46
"Reconstituted wood panels","Juken New Zealand Ltd",2010,1752,30800.16
"Reconstituted wood panels","Nelson Pine Industries Limited",2010,7406,130197.48
"Tissue paper","Asaleo Care New Zealand Limited",2010,10942,192360.36
"Whey powder","Fonterra Ltd",2010,888,15611.04
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2011,437681,8683591.04
"Burnt lime","Graymont (NZ) Limited",2011,99423,1972552.32
"Burnt lime","Holcim (New Zealand) Limited",2011,8310,164870.4
"Burnt lime","Perry Lime Limited",2011,153,3035.52
"Burnt lime","Perry Resources (2008) Ltd",2011,7346,145744.64
"Burnt lime","Websters Hydrated Lime Company Limited",2011,2457,48746.88
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2011,119728,2375403.52
"Carbon steel from cold ferrous feed","Fletcher Steel Limited",2011,36095,716124.8
"Carbon steel from cold ferrous feed","KiwiRail Limited",2011,74,1468.16
"Cartonboard","Whakatane Mill Limited",2011,76828,1524267.52
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2011,9150,181536
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2011,251367,4987121.28
"Cementitious products","Holcim (New Zealand) Limited",2011,171167,3395953.28
"Clay bricks and field tiles","Clay Bricks Ltd",2011,250,4960
"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2011,1968,39045.12
"Clay bricks and field tiles","Marton Brick & Tile Co Limited",2011,120,2380.8
"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",2011,76,1507.84
"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",2011,24,476.16
"Cut roses","Franko Roses New Zealand Limited",2011,129,2559.36
"Cut roses","Jeffrey Guy Ward",2011,74,1468.16
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",2011,53,1051.52
"Cut roses","K & L Nurseries Limited",2011,260,5158.4
"Cut roses","Moffatts Flower Company Limited",2011,732,14522.88
"Cut roses","Riverland Holdings Limited",2011,555,11011.2
"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",2011,110,2182.4
"Cut roses","Royal Roses Limited",2011,32,634.88
"Cut roses","Shipherd Nurseries Limited",2011,746,14800.64
"Cut roses","Van Berlo Limited",2011,132,2618.88
"Cut roses","Van Lier Nurseries Ltd",2011,667,13233.28
"Ethanol","Anchor Ethanol Limited",2011,5278,104715.52
"Fresh capsicums","Appleby Fresh Limited",2011,51,1011.84
"Fresh capsicums","Buller Supplies Limited",2011,19,376.96
"Fresh capsicums","Flat-Tac Capsicums Limited",2011,140,2777.6
"Fresh capsicums","Fresh West (2004) Limited",2011,188,3729.92
"Fresh capsicums","Gourmet Mokai Limited",2011,1601,31763.84
"Fresh capsicums","Gourmet Paprika Limited",2011,3483,69102.72
"Fresh capsicums","Harbour Head Growers Limited",2011,131,2599.04
"Fresh capsicums","Homestead Produce Ltd",2011,579,11487.36
"Fresh capsicums","J.S.Ewers Ltd",2011,588,11665.92
"Fresh capsicums","Kipps' Patch Limited",2011,32,634.88
"Fresh capsicums","M.C.H. & J. van Geest Nurseries Limited",2011,230,4563.2
"Fresh capsicums","Maria Anna Van der Gulik, Pieter Van der Gulik",2011,12,238.08
"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",2011,34,674.56
"Fresh capsicums","Poppas Peppers 2009 Limited",2011,200,3968
"Fresh capsicums","Sinai Hort Limited",2011,351,6963.84
"Fresh capsicums","Southern Paprika Limited",2011,4216,83645.44
"Fresh capsicums","Under Glass (Bombay) Ltd",2011,300,5952
"Fresh capsicums","Under Glass (Karaka) Limited",2011,538,10673.92
"Fresh capsicums","Whakatane Growers Limited",2011,711,14106.24
"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",2011,355,7043.2
"Fresh cucumbers","Bin Wang, YING ZHOU",2011,95,1884.8
"Fresh cucumbers","Exception Limited",2011,1562,30990.08
"Fresh cucumbers","Hanna Hothouses Ltd",2011,193,3829.12
"Fresh cucumbers","Hedger Greenhouse Limited",2011,59,1170.56
"Fresh cucumbers","Hope Hot House Ltd",2011,105,2083.2
"Fresh cucumbers","Island Horticulture Limited",2011,659,13074.56
"Fresh cucumbers","J.S.Ewers Ltd",2011,222,4404.48
"Fresh cucumbers","Jai Shankar Growers Limited",2011,207,4106.88
"Fresh cucumbers","Karaka Park Produce Limited",2011,345,6844.8
"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",2011,11,218.24
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2011,890,17657.6
"Fresh cucumbers","Parkgard Growers 2000 Limited",2011,63,1249.92
"Fresh cucumbers","PFD Produce Limited",2011,157,3114.88
"Fresh cucumbers","QUALITY FOOD PROCESSORS LTD",2011,141,2797.44
"Fresh cucumbers","Sharma Produce Limited",2011,166,3293.44
"Fresh cucumbers","Under Glass (Bombay) Ltd",2011,1400,27776
"Fresh cucumbers","Yearbury Holdings Limited",2011,229,4543.36
"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",2011,7,138.88
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2011,96,1904.64
"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",2011,161,3194.24
"Fresh tomatoes","Castle Rock Orchard Ltd",2011,374,7420.16
"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",2011,28,555.52
"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",2011,11,218.24
"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",2011,25,496
"Fresh tomatoes","Douglas Eric Bone, Jacqueline Anne Duffy",2011,6,119.04
"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",2011,46,912.64
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2011,16,317.44
"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",2011,276,5475.84
"Fresh tomatoes","Far Out Tomatoes 2003 Ltd",2011,132,2618.88
"Fresh tomatoes","Faye Elizabeth Ormandy, Graeme Jaxon Ormandy",2011,87,1726.08
"Fresh tomatoes","Gordon Edward Hackett",2011,10,198.4
"Fresh tomatoes","Gourmet Mokai Limited",2011,1330,26387.2
"Fresh tomatoes","Great Lake Tomatoes Limited",2011,1964,38965.76
"Fresh tomatoes","Han Jeon Kang, Jae Rang Kang",2011,26,515.84
"Fresh tomatoes","Hanna Hothouses Ltd",2011,306,6071.04
"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",2011,306,6071.04
"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",2011,77,1527.68
"Fresh tomatoes","IL KYU AHN",2011,32,634.88
"Fresh tomatoes","J.S.Ewers Ltd",2011,2287,45374.08
"Fresh tomatoes","Jae Young Hong, Sun Young Park",2011,73,1448.32
"Fresh tomatoes","Ji-Im Park, Won Ha Park",2011,58,1150.72
"Fresh tomatoes","Judith Kaye McArthur, Steven Edward McArthur",2011,2,39.68
"Fresh tomatoes","Karamea Tomatoes Limited",2011,397,7876.48
"Fresh tomatoes","Kingbridge Ltd",2011,48,952.32
"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",2011,34,674.56
"Fresh tomatoes","Lee Wang Hothouse Limited",2011,30,595.2
"Fresh tomatoes","Little Knoll Greenhouses Ltd",2011,260,5158.4
"Fresh tomatoes","Maria Anna Van der Gulik, Pieter Van der Gulik",2011,9,178.56
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2011,73,1448.32
"Fresh tomatoes","Mengye Investments Ltd.",2011,34,674.56
"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",2011,278,5515.52
"Fresh tomatoes","New Zealand Fresh Floria Limited",2011,28,555.52
"Fresh tomatoes","Nortonta Limited",2011,451,8947.84
"Fresh tomatoes","P H Kinzett Ltd",2011,688,13649.92
"Fresh tomatoes","Parkgard Growers 2000 Limited",2011,46,912.64
"Fresh tomatoes","Pilcher Farms (Produce) Limited",2011,18,357.12
"Fresh tomatoes","Pomoana Gardens Limited",2011,122,2420.48
"Fresh tomatoes","Rembrandt van Rijen Limited",2011,1178,23371.52
"Fresh tomatoes","Status Produce Limited",2011,6870,136300.8
"Fresh tomatoes","Ting-Yuan Robert Wu",2011,70,1388.8
"Fresh tomatoes","Tiny Toms Limited",2011,52,1031.68
"Fresh tomatoes","Under Glass (Bombay) Ltd",2011,1646,32656.64
