"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2013,"MA & AM & EM Sanders Partnership","Fresh Tomatoes",246
2013,"New Zealand Fresh Floria Limited","Fresh Tomatoes",37
2013,"Nortonta Limited","Fresh Tomatoes",457
2013,"P H Kinzett Limited","Fresh Tomatoes",761
2013,"P J & M J Fausett Partnership","Fresh Tomatoes",79
2013,"Parkgard Growers 2000 Limited","Fresh Tomatoes",51
2013,"Pieter and Maria Anna van der Gulik","Fresh Tomatoes",15
2013,"Pomoana Gardens Limited","Fresh Tomatoes",124
2013,"Rembrandt van Rijen Limited","Fresh Tomatoes",1219
2013,"Reupena Kovati & Eseta Kovati","Fresh Tomatoes",27
2013,"Status Produce Limited","Fresh Tomatoes",6801
2013,"TA & DM Turner","Fresh Tomatoes",50
2013,"Ting-Yuan Robert Wu","Fresh Tomatoes",70
2013,"Tiny Toms Limited","Fresh Tomatoes",51
2013,"Under Glass (Bombay) Limited","Fresh Tomatoes",1353
2013,"Under Glass (Karaka) Limited","Fresh Tomatoes",3163
2013,"Vege Fresh Growers Limited","Fresh Tomatoes",199
2013,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh Tomatoes",37
2013,"Won Ha Park and Ji-Im Park","Fresh Tomatoes",38
2013,"GELITA NZ Limited","Gelatine",3068
2013,"ACI Operations NZ Limited","Glass Containers",35803
2013,"Evonik Peroxide Limited","Hydrogen Peroxide",10330
2013,"New Zealand Steel Development Limited","Iron and steel from iron sand",1029352
2013,"Fonterra Limited","Lactose",28140
2013,"Carter Holt Harvey Pulp & Paper Limited","Market Pulp",150842
2013,"Pan Pac Forest Products Limited","Market Pulp",114805
2013,"Winstone Pulp International Limited","Market Pulp",89679
2013,"Methanex New Zealand Limited","Methanol",499704
2013,"Norske Skog Tasman Limited","Newsprint",125162
2013,"Carter Holt Harvey Limited","Packaging and industrial paper",21815
2013,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",125301
2013,"AFFCO New Zealand Limited","Protein meal",6640
2013,"Alliance Group Limited","Protein meal",6133
2013,"Blue Sky Meats (NZ) Limited","Protein meal",405
2013,"CMP Canterbury Limited","Protein meal",3298
2013,"CMP Kokiri Limited","Protein meal",479
2013,"Farm Brands Limited","Protein meal",3833
2013,"Graeme Lowe Protein Limited","Protein meal",9338
2013,"Kakariki Proteins Limited","Protein meal",739
2013,"Keep It Clean Limited","Protein meal",1613
2013,"Prime Range Meats Limited","Protein meal",407
2013,"PVL Proteins Limited","Protein meal",2340
2013,"Silver Fern Farms Limited","Protein meal",2954
2013,"Taylor Preston Limited","Protein meal",1238
2013,"Tegel Foods Limited","Protein meal",785
2013,"Value Proteins Limited","Protein meal",1375
2013,"Wallace Corporation Limited","Protein meal",8079
2013,"Carter Holt Harvey Limited","Reconstituted wood panels",777
2013,"Daiken New Zealand Limited","Reconstituted wood panels",8864
2013,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8250
2013,"Fletcher Building Products Limited","Reconstituted wood panels",1705
2013,"Juken New Zealand Limited","Reconstituted wood panels",5641
2013,"Nelson Pine Industries Limited","Reconstituted wood panels",15937
2013,"SCA Hygiene Australasia Limited","Tissue paper",18517
2013,"Fonterra Limited","Whey powder",622
