Year,Applicants.Name,Activity,Final.Unit.Entitlement
2011,"New Zealand Aluminium Smelters Limited","Aluminium smelting",437681
2011,"Holcim (New Zealand) Limited","Burnt lime",8310
2011,"McDonald's Lime Limited","Burnt lime",99423
2011,"Perry Lime Limited","Burnt lime",154
2011,"Perry Resources (2008) Limited","Burnt lime",7346
2011,"Websters Hydrated Lime Company Limited","Burnt lime",2457
2011,"Ballance Agri-Nutrients (Kapuni) Limited",Carbamide,119728
2011,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",36095
2011,"KiwiRail Limited","Carbon steel from cold ferrous feed",74
2011,"Whakatane Mill Limited",Cartonboard,76828
2011,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",9150
2011,"Fletcher Concrete and Infrastructure Limited","Cementitious products",251367
2011,"Holcim (New Zealand) Limited","Cementitious products",171167
2011,"Clay Bricks Limited","Clay bricks and field tiles",250
2011,"CSR Building Products (NZ) Limited","Clay bricks and field tiles",1968
2011,"Marton Brick & Tile Co Limited","Clay bricks and field tiles",120
2011,"Franko Roses New Zealand Limited","Cut roses",129
2011,"Jeffrey Guy Ward","Cut roses",74
2011,"K. & L.Nurseries Limited","Cut roses",260
2011,"Moffatts Flower Company Limited","Cut roses",732
2011,"Paul Gregory Whitehead, Suzanne Marie Whitehead, John Hamilton Charles 
Falloon","Cut roses",53
2011,"Riverland Nurseries Limited","Cut roses",555
2011,"Robb TC & RA","Cut roses",110
2011,"Royal Roses Limited","Cut roses",32
2011,"S & D Stocks","Cut roses",76
2011,"Shipherd Nurseries Limited","Cut roses",746
2011,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",24
2011,"Van Berlo Limited","Cut roses",132
2011,"Van Lier Nurseries Limited","Cut roses",667
2011,"Anchor Ethanol Limited",Ethanol,5278
2011,"Appleby Fresh Limited","Fresh capsicums",51
2011,"Buller Supplies Limited","Fresh capsicums",19
2011,"Flat-Tac Capsicums Limited","Fresh capsicums",140
2011,"Gourmet Mokai Limited","Fresh capsicums",1601
2011,"Gourmet Paprika Limited","Fresh capsicums",3483
2011,"Harbour Head Growers Limited","Fresh capsicums",131
2011,"Homestead Produce Limited","Fresh capsicums",579
2011,"J.S. Ewers Limited","Fresh capsicums",588
2011,"Kipps' Patch Limited","Fresh capsicums",32
2011,"M.C.H. & J. van Geest Nurseries Limited","Fresh capsicums",230
2011,"Pieter and Maria Anna van der Gulik","Fresh capsicums",12
2011,"Poppas Peppers 2009 Limited","Fresh capsicums",200
2011,"Sinai Hort Limited","Fresh capsicums",351
2011,"Southern Paprika Limited","Fresh capsicums",4216
2011,"The Chilli & Capsicum Company Limited","Fresh capsicums",34
2011,"Under Glass (Bombay) Limited","Fresh capsicums",300
2011,"Under Glass (Karaka) Limited","Fresh capsicums",538
2011,"Whakatane Growers Limited","Fresh capsicums",711
2011,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",355
2011,"Bin Wang & Ying Zhou","Fresh cucumbers",96
2011,"Exception Limited","Fresh cucumbers",1562
2011,"Hanna Hothouses Limited","Fresh cucumbers",193
2011,"Hedger Greenhouse Ltd","Fresh cucumbers",59
2011,"Hope Hot House Limited","Fresh cucumbers",105
2011,"Island Horticulture Limited","Fresh cucumbers",659
2011,"J.S. Ewers Limited","Fresh cucumbers",222
2011,"Jai Shankar Growers Limited","Fresh cucumbers",207
2011,"Karaka Park Produce Limited","Fresh cucumbers",345
2011,"Parkgard Growers 2000 Limited","Fresh cucumbers",63
2011,"PFD Produce Ltd","Fresh cucumbers",157
2011,"Pieter and Maria Anna van der Gulik","Fresh cucumbers",11
2011,"Quality Food Processors Limited","Fresh cucumbers",141
2011,"R K & M D Sharma","Fresh cucumbers",890
2011,"Sharma Produce Limited","Fresh cucumbers",166
2011,"Under Glass (Bombay) Limited","Fresh cucumbers",1400
2011,"Yearbury Holdings Limited","Fresh cucumbers",229
2011,"A J & J E Ivicevich","Fresh tomatoes",96
2011,"Castle Rock Orchard Limited","Fresh tomatoes",374
