"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2010,"New Zealand Aluminium Smelters Limited","Aluminium smelting",210421
2010,"Holcim (New Zealand) Limited","Burnt lime",3653
2010,"McDonald’s Lime Limited","Burnt lime",47144
2010,"Perry Resources (2008) Limited","Burnt lime",4712
2010,"Websters Hydrated Lime Company Limited","Burnt lime",1848
2010,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",93275
2010,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",16818
2010,"KiwiRail Limited","Carbon steel from cold ferrous feed",34
2010,"Whakatane Mill Limited","Cartonboard",39164
2010,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",4958
2010,"Fletcher Concrete and Infrastructure Limited","Cementitious products",122925
2010,"Holcim (New Zealand) Limited","Cementitious products",87879
2010,"Clay Bricks Limited","Clay bricks and field tiles",143
2010,"CSR Building Products (NZ) Limited","Clay bricks and field tiles",1050
2010,"Marton Brick & Tile Co Limited","Clay bricks and field tiles",35
2010,"Southtile Limited","Clay bricks and field tiles",43
2010,"Franko Roses New Zealand Limited","Cut roses",66
2010,"Hsun Yao Chuang","Cut roses",10
2010,"Jeffrey Guy Ward","Cut roses",52
2010,"K. & L. Nurseries Limited","Cut roses",123
2010,"Moffatts Flower Company Limited","Cut roses",374
2010,"Paul Gregory Whitehead, Suzanne Marie Whitehead, John Hamilton Charles 
Falloon","Cut roses",13
2010,"Riverland Nurseries Limited","Cut roses",251
2010,"Robb TC & RA","Cut roses",39
2010,"Royal Roses Limited","Cut roses",12
2010,"S & D Stocks","Cut roses",45
2010,"Shipherd Nurseries Limited","Cut roses",340
2010,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",11
2010,"Van Berlo Limited","Cut roses",73
2010,"Van Lier Nurseries Limited","Cut roses",373
2010,"Wilhelmus Jacobus Maria Zwart and Avis Maree Zwart","Cut roses",32
2010,"Anchor Ethanol Limited","Ethanol",3654
2010,"Appleby Fresh Limited","Fresh capsicums",49
2010,"Buller Supplies Limited","Fresh capsicums",5
2010,"Flat-Tac Capsicums Limited","Fresh capsicums",61
2010,"Gourmet Mokai Limited","Fresh capsicums",650
2010,"Gourmet Paprika Limited","Fresh capsicums",1789
2010,"Harbour Head Growers Limited","Fresh capsicums",47
2010,"Homestead Produce Limited","Fresh capsicums",270
2010,"J. S. Ewers Limited","Fresh capsicums",280
2010,"Kipps' Patch Limited","Fresh capsicums",10
2010,"Poppas Peppers 2009 Limited","Fresh capsicums",69
2010,"Sinai Hort Limited","Fresh capsicums",149
2010,"Southern Paprika Limited","Fresh capsicums",2148
2010,"The Chilli & Capsicum Company Limited","Fresh capsicums",19
2010,"Under Glass (Bombay) Limited","Fresh capsicums",61
2010,"Under Glass (Karaka) Limited","Fresh capsicums",229
2010,"Whakatane Growers Limited","Fresh capsicums",361
2010,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",168
2010,"Bin Wang & Ying Zhou","Fresh cucumbers",28
2010,"Exception Limited","Fresh cucumbers",781
2010,"Green Harvest Growing Limited","Fresh cucumbers",168
2010,"Hanna Hothouses Limited","Fresh cucumbers",86
2010,"Hedger Greenhouse Limited","Fresh cucumbers",26
2010,"Hope Hot House Limited","Fresh cucumbers",28
2010,"Island Horticulture Limited","Fresh cucumbers",369
2010,"J.S. Ewers Limited","Fresh cucumbers",203
2010,"Karaka Park Produce Limited","Fresh cucumbers",197
2010,"Parkgard Growers 2000 Limited","Fresh cucumbers",22
2010,"Pieter and Maria Anna van der Gulik","Fresh cucumbers",12
2010,"Quality Food Processors Limited","Fresh cucumbers",95
2010,"R K & M D Sharma","Fresh cucumbers",444
2010,"Under Glass (Bombay) Limited","Fresh cucumbers",774
2010,"A J & J E Ivicevich","Fresh tomatoes",41
2010,"Castle Rock Orchard Limited","Fresh tomatoes",174
2010,"Dale Calderwood Frost & Elizabeth Kay Frost","Fresh tomatoes",9
2010,"DE Bone & JA Duffy Partnership","Fresh tomatoes",4
2010,"Dong Hyuk  Cha & Soo Hwan Cha","Fresh tomatoes",19
2010,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",7
2010,"Faye Elizabeth Ormandy & Graeme Jaxon Ormandy","Fresh tomatoes",29
2010,"Gordon Edward Hackett","Fresh tomatoes",4
2010,"Gourmet Mokai Limited","Fresh tomatoes",443
2010,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",1
2010,"Great Lake Tomatoes Limited","Fresh tomatoes",1038
2010,"Greentop Company Limited","Fresh tomatoes",18
2010,"Han Jeon Kang, Jae Rang Kang","Fresh tomatoes",19
2010,"Hanna Hothouses Limited","Fresh tomatoes",146
2010,"Il Kyu Ahn","Fresh tomatoes",9
2010,"J.S. Ewers Limited","Fresh tomatoes",1130
2010,"Karamea Tomatoes Limited","Fresh tomatoes",146
2010,"K F & H J Petrie","Fresh tomatoes",157
2010,"Kingbridge Limited","Fresh tomatoes",19
2010,"Kyoung Lae Lee, Hye Young Jung","Fresh tomatoes",22
2010,"Little Knoll Greenhouses Limited","Fresh tomatoes",134
2010,"MA & AM & EM Sanders Partnership","Fresh tomatoes",98
2010,"Mengye Investments Limited","Fresh tomatoes",14
2010,"Myeong Ho Lee & Kyung Duk Hwang","Fresh tomatoes",15
2010,"Nagra Brothers Limited","Fresh tomatoes",31
2010,"New Zealand Fresh Floria Limited","Fresh tomatoes",20
2010,"Nortonta Limited","Fresh tomatoes",245
2010,"P J & M J Fausett Partnership","Fresh tomatoes",41
2010,"Parkgard Growers 2000 Limited","Fresh tomatoes",23
2010,"Pomoana Gardens Limited","Fresh tomatoes",47
2010,"Rembrandt van Rijen Limited","Fresh tomatoes",694
2010,"Status Produce Limited","Fresh tomatoes",3451
2010,"TA & DM Turner","Fresh tomatoes",29
2010,"Tiny Toms Limited","Fresh tomatoes",27
2010,"Under Glass (Bombay) Limited","Fresh tomatoes",975
2010,"Under Glass (Karaka) Limited","Fresh tomatoes",1333
2010,"Vege Fresh Growers Limited","Fresh tomatoes",73
2010,"Vicki Thresa Gargiulo & Michael Theodore Gargiulo","Fresh tomatoes",143
2010,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",22
2010,"Wilhelmus Jacobus Maria Zwart and Avis Maree Zwart","Fresh tomatoes",28
2010,"Won Ha Park and Ji-Im Park","Fresh tomatoes",28
2010,"GELITA NZ Limited","Gelatine",1531
2010,"ACI Operations NZ Limited","Glass containers",14454
2010,"Evonik Degussa Peroxide Limited","Hydrogen peroxide",5920
2010,"New Zealand Steel Development Limited","Iron and steel from iron sand",494704
2010,"Fonterra Limited","Lactose",13418
2010,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",78896
2010,"Pan Pac Forest Products Limited","Market pulp",60593
2010,"Winstone Pulp International Limited","Market pulp",42254
2010,"Methanex New Zealand Limited","Methanol",143074
2010,"Norske Skog Tasman Limited","Newsprint",122826
2010,"Carter Holt Harvey Limited","Packaging and industrial paper",10413
