"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2010,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",60562
2010,"Affco New Zealand Limited","Protein meal",2798
2010,"Alliance Group Limited","Protein meal",2119
2010,"Blue Sky Meats (N.Z.) Limited","Protein meal",113
2010,"CMP Canterbury Limited","Protein meal",1141
2010,"CMP Kokiri Limited","Protein meal",275
2010,"Farm Brands Limited","Protein meal",1214
2010,"Graeme Lowe Protein Limited","Protein meal",4041
2010,"Hawkes Bay Protein Limited","Protein meal",1289
2010,"Kakariki Proteins Limited","Protein meal",183
2010,"Keep It Clean Limited","Protein meal",343
2010,"PVL Proteins Limited","Protein meal",1083
2010,"Silver Fern Farms Limited","Protein meal",2464
2010,"Taranaki By-Products Limited","Protein meal",4008
2010,"Taylor Preston Limited","Protein meal",542
2010,"Tegel Foods Limited","Protein meal",404
2010,"Value Proteins Limited","Protein meal",299
2010,"Wallace Corporation Limited","Protein meal",3771
2010,"Carter Holt Harvey Limited","Reconstituted wood panels",586
2010,"Daiken New Zealand Limited","Reconstituted wood panels",4248
2010,"Dongwha Patinna NZ Limited","Reconstituted wood panels",4284
2010,"Fletcher Building Products Limited","Reconstituted wood panels",837
2010,"Juken New Zealand Limited","Reconstituted wood panels",2459
2010,"Nelson Pine Industries Limited","Reconstituted wood panels",7406
2010,"SCA Hygiene Australasia Limited","Tissue paper",10942
2010,"Fonterra Limited","Whey powder",888
